RowID,Player,Measure,Year,Values
315,Chris Bosh,Games Played,2010,77
316,Chris Paul,Games Played,2010,80
317,Kevin Durant,Games Played,2010,78
318,Derrick Rose,Games Played,2010,81
319,Dwayne Wade,Games Played,2010,76
320,Kobe Bryant,Minutes Played,2010,2779
321,Joe Johnson,Minutes Played,2010,2554
322,LeBron James,Minutes Played,2010,3063
323,Carmelo Anthony,Minutes Played,2010,2751
324,Dwight Howard,Minutes Played,2010,2935
325,Chris Bosh,Minutes Played,2010,2795
326,Chris Paul,Minutes Played,2010,2880
327,Kevin Durant,Minutes Played,2010,3038
328,Derrick Rose,Minutes Played,2010,3026
329,Dwayne Wade,Minutes Played,2010,2823
330,Kobe Bryant,Field Goals,2010,740
331,Joe Johnson,Field Goals,2010,514
332,LeBron James,Field Goals,2010,758
333,Carmelo Anthony,Field Goals,2010,684
334,Dwight Howard,Field Goals,2010,619
335,Chris Bosh,Field Goals,2010,524
336,Chris Paul,Field Goals,2010,430
337,Kevin Durant,Field Goals,2010,711
338,Derrick Rose,Field Goals,2010,711
339,Dwayne Wade,Field Goals,2010,692
340,Kobe Bryant,Field Goal Attempts,2010,1639
341,Joe Johnson,Field Goal Attempts,2010,1161
342,LeBron James,Field Goal Attempts,2010,1485
343,Carmelo Anthony,Field Goal Attempts,2010,1503
344,Dwight Howard,Field Goal Attempts,2010,1044
345,Chris Bosh,Field Goal Attempts,2010,1056
346,Chris Paul,Field Goal Attempts,2010,928
347,Kevin Durant,Field Goal Attempts,2010,1538
348,Derrick Rose,Field Goal Attempts,2010,1597
349,Dwayne Wade,Field Goal Attempts,2010,1384
350,Kobe Bryant,Points,2010,2078
351,Joe Johnson,Points,2010,1312
352,LeBron James,Points,2010,2111
353,Carmelo Anthony,Points,2010,1970
354,Dwight Howard,Points,2010,1784
355,Chris Bosh,Points,2010,1438
356,Chris Paul,Points,2010,1268
357,Kevin Durant,Points,2010,2161
358,Derrick Rose,Points,2010,2026
359,Dwayne Wade,Points,2010,1941
360,Kobe Bryant,Salary,2011,25244493
361,Joe Johnson,Salary,2011,18038573
362,LeBron James,Salary,2011,16022500
363,Carmelo Anthony,Salary,2011,18518574
364,Dwight Howard,Salary,2011,18091770
365,Chris Bosh,Salary,2011,16022500
366,Chris Paul,Salary,2011,16359805
367,Kevin Durant,Salary,2011,15506632
368,Derrick Rose,Salary,2011,6993708
369,Dwayne Wade,Salary,2011,15691000
370,Kobe Bryant,Games Played,2011,58
371,Joe Johnson,Games Played,2011,60
372,LeBron James,Games Played,2011,62
373,Carmelo Anthony,Games Played,2011,55
374,Dwight Howard,Games Played,2011,54
375,Chris Bosh,Games Played,2011,57
376,Chris Paul,Games Played,2011,60
377,Kevin Durant,Games Played,2011,66
378,Derrick Rose,Games Played,2011,39
379,Dwayne Wade,Games Played,2011,49
380,Kobe Bryant,Minutes Played,2011,2232
381,Joe Johnson,Minutes Played,2011,2127
382,LeBron James,Minutes Played,2011,2326
383,Carmelo Anthony,Minutes Played,2011,1876
384,Dwight Howard,Minutes Played,2011,2070
385,Chris Bosh,Minutes Played,2011,2007
386,Chris Paul,Minutes Played,2011,2181
387,Kevin Durant,Minutes Played,2011,2546
388,Derrick Rose,Minutes Played,2011,1375
389,Dwayne Wade,Minutes Played,2011,1625
390,Kobe Bryant,Field Goals,2011,574
391,Joe Johnson,Field Goals,2011,423
392,LeBron James,Field Goals,2011,621
393,Carmelo Anthony,Field Goals,2011,441
394,Dwight Howard,Field Goals,2011,416
395,Chris Bosh,Field Goals,2011,393
396,Chris Paul,Field Goals,2011,425
397,Kevin Durant,Field Goals,2011,643
398,Derrick Rose,Field Goals,2011,302
399,Dwayne Wade,Field Goals,2011,416
400,Kobe Bryant,Field Goal Attempts,2011,1336
401,Joe Johnson,Field Goal Attempts,2011,931
402,LeBron James,Field Goal Attempts,2011,1169
403,Carmelo Anthony,Field Goal Attempts,2011,1025
404,Dwight Howard,Field Goal Attempts,2011,726
405,Chris Bosh,Field Goal Attempts,2011,807
406,Chris Paul,Field Goal Attempts,2011,890
407,Kevin Durant,Field Goal Attempts,2011,1297
408,Derrick Rose,Field Goal Attempts,2011,695
409,Dwayne Wade,Field Goal Attempts,2011,837
410,Kobe Bryant,Points,2011,1616
411,Joe Johnson,Points,2011,1129
412,LeBron James,Points,2011,1683
413,Carmelo Anthony,Points,2011,1245
414,Dwight Howard,Points,2011,1113
415,Chris Bosh,Points,2011,1025
416,Chris Paul,Points,2011,1189
417,Kevin Durant,Points,2011,1850
418,Derrick Rose,Points,2011,852
419,Dwayne Wade,Points,2011,1082
420,Kobe Bryant,Salary,2012,27849149
421,Joe Johnson,Salary,2012,19752645
422,LeBron James,Salary,2012,17545000
423,Carmelo Anthony,Salary,2012,19450000
424,Dwight Howard,Salary,2012,19536360
425,Chris Bosh,Salary,2012,17545000
426,Chris Paul,Salary,2012,17779458
427,Kevin Durant,Salary,2012,16669630
428,Derrick Rose,Salary,2012,16402500
429,Dwayne Wade,Salary,2012,17182000
430,Kobe Bryant,Games Played,2012,78
431,Joe Johnson,Games Played,2012,72
432,LeBron James,Games Played,2012,76
433,Carmelo Anthony,Games Played,2012,67
434,Dwight Howard,Games Played,2012,76
435,Chris Bosh,Games Played,2012,74
436,Chris Paul,Games Played,2012,70
437,Kevin Durant,Games Played,2012,81
438,Derrick Rose,Games Played,2012,0
439,Dwayne Wade,Games Played,2012,69
440,Kobe Bryant,Minutes Played,2012,3013
441,Joe Johnson,Minutes Played,2012,2642
442,LeBron James,Minutes Played,2012,2877
443,Carmelo Anthony,Minutes Played,2012,2482
444,Dwight Howard,Minutes Played,2012,2722
445,Chris Bosh,Minutes Played,2012,2454
446,Chris Paul,Minutes Played,2012,2335
447,Kevin Durant,Minutes Played,2012,3119
448,Derrick Rose,Minutes Played,2012,0
449,Dwayne Wade,Minutes Played,2012,2391
450,Kobe Bryant,Field Goals,2012,738
451,Joe Johnson,Field Goals,2012,445
452,LeBron James,Field Goals,2012,765
453,Carmelo Anthony,Field Goals,2012,669
454,Dwight Howard,Field Goals,2012,470
455,Chris Bosh,Field Goals,2012,485
456,Chris Paul,Field Goals,2012,412
457,Kevin Durant,Field Goals,2012,731
458,Derrick Rose,Field Goals,2012,0
459,Dwayne Wade,Field Goals,2012,569
460,Kobe Bryant,Field Goal Attempts,2012,1595
461,Joe Johnson,Field Goal Attempts,2012,1052
462,LeBron James,Field Goal Attempts,2012,1354
463,Carmelo Anthony,Field Goal Attempts,2012,1489
464,Dwight Howard,Field Goal Attempts,2012,813
465,Chris Bosh,Field Goal Attempts,2012,907
466,Chris Paul,Field Goal Attempts,2012,856
467,Kevin Durant,Field Goal Attempts,2012,1433
468,Derrick Rose,Field Goal Attempts,2012,0
469,Dwayne Wade,Field Goal Attempts,2012,1093
470,Kobe Bryant,Points,2012,2133
471,Joe Johnson,Points,2012,1170
472,LeBron James,Points,2012,2036
473,Carmelo Anthony,Points,2012,1920
474,Dwight Howard,Points,2012,1296
475,Chris Bosh,Points,2012,1232
476,Chris Paul,Points,2012,1186
477,Kevin Durant,Points,2012,2280
478,Derrick Rose,Points,2012,0
479,Dwayne Wade,Points,2012,1463
480,Kobe Bryant,Salary,2013,30453805
481,Joe Johnson,Salary,2013,21466718
482,LeBron James,Salary,2013,19067500
483,Carmelo Anthony,Salary,2013,22407474
484,Dwight Howard,Salary,2013,20513178
485,Chris Bosh,Salary,2013,19067500
486,Chris Paul,Salary,2013,18668431
487,Kevin Durant,Salary,2013,17832627
488,Derrick Rose,Salary,2013,17632688
489,Dwayne Wade,Salary,2013,18673000
490,Kobe Bryant,Games Played,2013,6
491,Joe Johnson,Games Played,2013,79
492,LeBron James,Games Played,2013,77
493,Carmelo Anthony,Games Played,2013,77
494,Dwight Howard,Games Played,2013,71
495,Chris Bosh,Games Played,2013,79
496,Chris Paul,Games Played,2013,62
497,Kevin Durant,Games Played,2013,81
498,Derrick Rose,Games Played,2013,10
499,Dwayne Wade,Games Played,2013,54
500,Kobe Bryant,Minutes Played,2013,177
501,Joe Johnson,Minutes Played,2013,2575
502,LeBron James,Minutes Played,2013,2902
503,Carmelo Anthony,Minutes Played,2013,2982
504,Dwight Howard,Minutes Played,2013,2396
505,Chris Bosh,Minutes Played,2013,2531
506,Chris Paul,Minutes Played,2013,2171
507,Kevin Durant,Minutes Played,2013,3122
508,Derrick Rose,Minutes Played,2013,311
509,Dwayne Wade,Minutes Played,2013,1775
510,Kobe Bryant,Field Goals,2013,31
511,Joe Johnson,Field Goals,2013,462
512,LeBron James,Field Goals,2013,767
513,Carmelo Anthony,Field Goals,2013,743
514,Dwight Howard,Field Goals,2013,473
515,Chris Bosh,Field Goals,2013,492
516,Chris Paul,Field Goals,2013,406
517,Kevin Durant,Field Goals,2013,849
518,Derrick Rose,Field Goals,2013,58
519,Dwayne Wade,Field Goals,2013,415
520,Kobe Bryant,Field Goal Attempts,2013,73
521,Joe Johnson,Field Goal Attempts,2013,1018
522,LeBron James,Field Goal Attempts,2013,1353
523,Carmelo Anthony,Field Goal Attempts,2013,1643
524,Dwight Howard,Field Goal Attempts,2013,800
525,Chris Bosh,Field Goal Attempts,2013,953
526,Chris Paul,Field Goal Attempts,2013,870
527,Kevin Durant,Field Goal Attempts,2013,1688
528,Derrick Rose,Field Goal Attempts,2013,164
529,Dwayne Wade,Field Goal Attempts,2013,761
530,Kobe Bryant,Points,2013,83
531,Joe Johnson,Points,2013,1245
532,LeBron James,Points,2013,2089
533,Carmelo Anthony,Points,2013,2112
534,Dwight Howard,Points,2013,1297
535,Chris Bosh,Points,2013,1281
536,Chris Paul,Points,2013,1185
537,Kevin Durant,Points,2013,2593
538,Derrick Rose,Points,2013,159
539,Dwayne Wade,Points,2013,1028
540,Kobe Bryant,Salary,2014,23500000
541,Joe Johnson,Salary,2014,23180790
542,LeBron James,Salary,2014,20644400
543,Carmelo Anthony,Salary,2014,22458000
544,Dwight Howard,Salary,2014,21436271
545,Chris Bosh,Salary,2014,20644400
546,Chris Paul,Salary,2014,20068563
547,Kevin Durant,Salary,2014,18995624
548,Derrick Rose,Salary,2014,18862875
549,Dwayne Wade,Salary,2014,15000000
550,Kobe Bryant,Games Played,2014,35
551,Joe Johnson,Games Played,2014,80
552,LeBron James,Games Played,2014,69
553,Carmelo Anthony,Games Played,2014,40
554,Dwight Howard,Games Played,2014,41
555,Chris Bosh,Games Played,2014,44
556,Chris Paul,Games Played,2014,82
557,Kevin Durant,Games Played,2014,27
558,Derrick Rose,Games Played,2014,51
559,Dwayne Wade,Games Played,2014,62
560,Kobe Bryant,Minutes Played,2014,1207
561,Joe Johnson,Minutes Played,2014,2791
562,LeBron James,Minutes Played,2014,2493
563,Carmelo Anthony,Minutes Played,2014,1428
564,Dwight Howard,Minutes Played,2014,1223
565,Chris Bosh,Minutes Played,2014,1556
566,Chris Paul,Minutes Played,2014,2857
567,Kevin Durant,Minutes Played,2014,913
